TS,IT,IH,OT,OH,HP
50,18.8556,47.2500,2.6889,96.7000,29.4325
51,18.8389,47.2900,2.7444,96.7000,29.5250
52,18.7000,47.3100,2.8944,96.7000,29.4938
53,18.6500,47.3600,3.0222,96.6000,29.6188
54,18.9333,47.5200,3.0611,96.8000,29.4688
55,18.6556,47.6700,3.1722,96.9000,29.5013
56,18.6000,47.6800,3.3667,96.7000,29.5013
57,18.6056,47.7300,3.4056,96.7000,29.5638
58,18.8333,47.7300,3.5611,96.9000,29.7888
59,18.8333,47.7400,3.8278,97.1000,29.7888
60,18.6778,47.7800,4.6667,96.9000,29.7888
61,18.6889,47.8600,4.8889,96.3000,29.7888
62,19.0611,47.8500,5.1611,95.4000,29.7638
63,18.7889,47.8800,5.1056,92.2000,34.2013
64,18.7611,47.8800,4.9944,87.8000,34.2013
65,18.6667,47.9400,4.4556,87.2000,34.1700
66,18.9611,47.7700,4.2833,87.0000,34.5450
67,18.7833,47.8400,3.8556,84.6000,34.7625
68,18.6944,47.7500,3.4000,83.9000,34.7938
69,18.7167,47.7500,2.7056,84.9000,34.7000
70,18.9000,47.6900,2.1389,83.1000,33.4750
71,18.8500,47.6100,1.6278,81.6000,41.2575
72,18.7111,47.5400,1.1000,81.4000,41.2575
73,18.7500,47.3800,0.4667,82.6000,41.0700
74,18.9056,47.5800,-0.0333,83.2000,40.6950
75,18.9111,47.5300,-0.6333,81.0000,44.0625
76,18.6500,47.3900,-1.4111,80.4000,47.7200
77,18.7056,47.2000,-1.9000,80.7000,47.8763
78,18.8333,46.9300,-2.3222,82.0000,47.8013
79,18.9278,46.8200,-2.8167,83.2000,47.5513
80,18.7611,46.7600,-3.1444,84.2000,51.7388
81,18.7000,46.7000,-3.8333,89.7000,51.7388
82,18.7944,46.5300,-4.4056,90.9000,51.6638
83,18.8722,46.4800,-4.4944,86.9000,51.7638
84,18.5667,46.4400,-4.4000,81.9000,56.0763
85,18.5889,46.3900,-4.3611,79.0400,55.9513
86,18.7611,46.2300,-4.3833,77.5600,56.0763
87,18.7278,46.3800,-4.5611,79.8200,56.2263
88,18.6778,46.3500,-5.1833,84.8000,56.3813
89,18.6833,46.2800,-5.5611,86.3000,56.4125
90,18.8222,46.3100,-5.5833,84.8000,56.4125
91,18.8000,46.9500,-5.7167,83.6000,56.4875
92,18.7056,46.6600,-5.9056,85.5000,56.3625
93,18.6167,46.6200,-6.0000,84.2000,56.3938
94,18.7556,46.3700,-6.0556,81.0000,57.0188
95,18.7611,46.3600,-5.8889,77.9500,56.8688
96,18.6778,46.1200,-5.8778,76.7800,44.6813
1,18.5889,46.0000,-5.8556,74.8100,44.7750
2,18.7000,45.7400,-5.8611,71.3800,44.3500
3,18.7389,45.4600,-5.8222,69.8500,41.1500
4,18.5611,45.2900,-5.8500,69.7300,41.1500
5,18.5667,45.2200,-5.8944,74.1200,40.9625
6,18.6333,45.0900,-5.8556,69.6300,40.1875
7,18.6722,44.9000,-5.7667,66.5900,31.4375
8,18.5333,44.7900,-6.0056,66.9000,31.4063
9,18.5222,44.7100,-6.4111,66.2500,31.5313
10,18.5444,44.5400,-6.8444,66.6100,31.5313
11,18.6500,44.3800,-6.9444,66.9100,31.5013
12,18.4556,44.2700,-6.9444,67.4100,31.5325
13,18.4222,44.1200,-7.0778,68.2200,31.3763
14,18.4778,43.9300,-7.2500,68.4000,31.3263
15,18.4667,43.7200,-7.7222,65.0300,27.0763
16,18.3333,43.5600,-7.9833,64.2300,27.0450
17,18.4500,43.4200,-8.1278,64.5500,27.0138
18,18.4389,43.2300,-8.2833,65.4100,26.7888
19,18.4889,43.1100,-8.3889,66.3600,26.8813
20,18.4889,43.0800,-8.4889,67.1700,26.8813
21,18.4556,42.9800,-8.6556,68.6900,26.9750
22,18.3833,42.7800,-8.9278,71.1500,28.3250
23,18.3500,42.6300,-9.4000,75.9100,28.5750
24,18.2833,42.5600,-9.3778,76.4500,28.5750
25,18.2222,42.3900,-9.4556,77.4000,28.6375
26,18.2389,42.1600,-9.6222,78.0900,26.5625
27,18.2333,41.9500,-9.7778,80.5000,29.8450
28,18.1889,41.8900,-10.0389,83.2000,29.8763
29,18.3000,41.7800,-10.1667,85.8000,29.5950
30,18.2444,41.6000,-10.1833,86.7000,28.8775
31,18.2667,41.4800,-10.3944,87.7000,32.2825
32,18.2611,41.4400,-10.0889,83.9000,32.2825
33,18.2389,41.3200,-9.6944,74.5400,32.4075
34,18.1722,41.2500,-9.5056,70.4300,32.5950
35,18.3056,41.7600,-9.5111,70.1900,36.4700
36,18.3222,41.9600,-9.6056,70.6800,36.4388
37,18.1944,41.9100,-9.6889,71.7200,36.3450
38,18.0889,41.7300,-9.6778,71.3100,36.1575
39,18.2222,41.5700,-9.5667,69.8200,28.6900
40,18.1889,41.5300,-9.4389,68.6200,28.7213
41,18.0333,41.6000,-9.3222,68.0000,28.8775
42,18.1278,41.4400,-8.5222,65.6200,31.1700
43,18.4056,41.2500,-8.0333,64.4300,30.7625
44,18.3556,41.1600,-7.4778,63.0900,30.7625
45,18.2722,41.0800,-6.9389,61.6900,29.2938
46,18.4833,40.9900,-7.0667,62.8200,29.1188
47,18.5778,40.7700,-6.7833,62.5000,29.6813
48,18.4833,40.6700,-6.5944,62.1000,29.6500
49,18.5722,40.6000,-6.3833,61.7200,29.6813
50,18.8056,40.5800,-5.7722,58.9400,29.0563
51,18.8000,40.5000,-5.8111,58.8900,29.0563
